show_id,director_id,actor_id
62,41,476
63,42,426
63,42,427
63,42,446
63,42,429
63,42,417
63,42,477
63,42,478
63,42,479
63,42,480
63,42,481
64,43,426
64,43,436
64,43,427
64,43,429
64,43,482
64,43,483
64,43,484
64,43,485
64,43,486
64,43,487
65,44,488
65,44,489
65,44,490
66,0,491
66,0,492
66,0,493
66,0,494
68,0,495
68,0,496
68,0,497
68,0,498
68,0,499
68,0,500
68,0,501
69,45,502
69,46,502
69,47,502
71,0,503
72,48,504
72,48,505
72,48,506
72,48,320
72,48,507
72,48,508
72,48,509
72,48,510
72,48,511
73,0,512
73,0,513
74,49,514
74,49,515
74,49,516
74,49,517
74,49,366
74,49,518
74,49,519
74,49,520
76,50,521
76,50,522
77,0,523
77,0,445
77,0,524
77,0,525
77,0,439
77,0,443
77,0,451
77,0,526
77,0,527
77,0,528
77,0,529
77,0,530
77,0,531
77,0,454
77,0,441
77,0,532
77,0,533
77,0,534
77,0,535
77,0,536
77,0,537
77,0,432
77,0,538
77,0,539
77,0,461
77,0,540
77,0,541
78,51,542
78,51,543
78,51,544
78,51,545
78,51,546
78,51,547
78,51,548
78,51,549
79,52,550
79,52,551
79,52,552
80,52,550
80,52,551
80,52,552
81,53,553
81,53,554
81,53,555
81,53,556
81,53,557
81,53,558
81,53,559
82,54,560
82,54,561
82,54,562
82,54,563
82,54,564
82,54,565
82,54,566
83,0,567
83,0,568
83,0,569
83,0,570
83,0,571
83,0,572
83,0,573
83,0,574
83,0,575
83,0,576
83,0,577
83,0,578
83,0,579
84,0,580
85,55,581
85,55,582
85,55,583
85,55,584
85,55,386
85,55,387
85,55,585
85,55,586
85,55,587
85,55,588
85,56,581
85,56,582
85,56,583
85,56,584
85,56,386
85,56,387
85,56,585
85,56,586
85,56,587
85,56,588
86,0,589
86,0,590
86,0,591
86,0,592
86,0,593
86,0,594
86,0,595
86,0,596
86,0,597
86,0,598
87,57,599
87,57,600
87,57,601
87,57,602
87,57,603
87,57,604
87,57,605
87,57,606
88,0,607
88,0,608
88,0,609
88,0,610
88,0,611
89,58,612
89,58,613
90,0,304
90,0,614
90,0,306
90,0,305
90,0,615
90,0,616
90,0,307
91,59,617
91,59,618
91,59,619
91,59,620
91,59,621
91,59,622
91,59,623
91,59,624
92,60,0
92,61,0
93,0,625
93,0,626
93,0,627
93,0,628
93,0,629
93,0,630
93,0,631
93,0,632
93,0,633
93,0,634
93,0,635
94,62,636
94,62,637
94,62,638
94,62,639
94,62,640
94,62,641
94,62,642
94,62,643
94,62,644
94,62,645
95,63,646
95,63,647
95,63,648
95,63,649
95,63,650
95,63,651
95,63,652
95,63,653
95,63,654
95,63,655
95,63,656
95,63,657
96,0,658
97,64,659
97,64,660
97,64,661
97,64,662
97,64,663
97,64,664
97,64,665
97,64,666
97,64,667
97,64,668
98,0,669
98,0,317
98,0,670
98,0,671
98,0,672
98,0,315
98,0,673
99,0,674
99,0,675
99,0,676
99,0,494
99,0,677
99,0,678
99,0,679
99,0,680
99,0,681
99,0,682
99,0,683
99,0,684
99,0,685
100,0,686
100,0,687
100,0,688
100,0,689
100,0,690
100,0,691
100,0,692
100,0,693
101,0,694
101,0,695
101,0,696
101,0,697
101,0,698
101,0,699
101,0,700
101,0,701
101,0,702
102,65,0
102,66,0
103,67,0
104,68,519
104,68,703
104,68,704
104,68,514
104,68,705
104,68,706
104,68,707
104,68,708
104,68,709
104,68,710
104,68,711
104,68,712
104,68,713
104,68,714
105,0,715
105,0,716
106,69,717
106,69,718
106,69,719
106,69,720
106,69,721
106,69,722
106,69,723
106,69,724
106,69,725
106,69,726
106,69,727
107,0,728
107,0,729
107,0,730
107,0,731
107,0,732
107,0,733
107,0,734
108,70,735
108,70,736
108,70,737
108,70,738
108,70,739
108,70,740
109,0,741
109,0,742
109,0,743
109,0,744
109,0,745
109,0,746
109,0,747
109,0,748
110,0,749
110,0,750
110,0,751
110,0,752
110,0,753
110,0,754
110,0,755
110,0,756
110,0,757
110,0,758
110,0,759
110,0,760
110,0,761
111,71,0
111,72,0
112,0,762
112,0,763
112,0,315
112,0,764
112,0,765
112,0,318
112,0,766
113,73,767
113,73,649
113,73,768
113,73,769
113,73,770
113,73,771
113,73,772
113,73,773
114,74,774
114,74,775
114,74,776
114,74,777
114,74,778
114,74,779
114,74,780
114,74,781
115,75,782
115,75,783
115,75,784
115,75,785
115,75,786
115,75,787
115,75,788
115,75,789
115,75,790
116,76,791
116,76,792
116,76,793
116,76,794
116,76,795
116,76,553
116,76,796
116,76,797
116,76,798
116,76,799
117,77,800
117,77,801
117,77,802
117,77,803
117,77,804
117,77,805
117,77,806
117,77,807
118,78,0
119,79,808
119,79,809
119,79,810
119,79,811
119,79,812
119,79,813
120,80,814
120,80,815
120,80,816
120,80,817
120,80,818
121,0,819
121,0,820
121,0,821
121,0,822
122,0,823
122,0,824
122,0,825
122,0,826
122,0,827
122,0,828
122,0,829
122,0,830
122,0,831
122,0,832
122,0,833
122,0,834
122,0,835
123,76,836
123,76,837
123,76,838
123,76,839
123,76,840
123,76,841
123,76,842
